id,text,label
1,老师对变量与数据类型的讲解很清楚，我能够跟上课程进度,1
2,老师对条件语句的讲解很清楚，我能够跟上课程进度,1
3,老师对循环结构的讲解很清楚，我能够跟上课程进度,1
4,老师对数组的讲解很清楚，我能够跟上课程进度,1
5,老师对函数的讲解很清楚，我能够跟上课程进度,1
6,老师对指针的讲解很清楚，我能够跟上课程进度,1
7,老师对结构体的讲解很清楚，我能够跟上课程进度,1
8,老师对文件操作的讲解很清楚，我能够跟上课程进度,1
9,老师对内存管理的讲解很清楚，我能够跟上课程进度,1
10,老师对调试方法的讲解很清楚，我能够跟上课程进度,1
11,老师对字符串处理的讲解很清楚，我能够跟上课程进度,1
12,老师对递归的讲解很清楚，我能够跟上课程进度,1
13,老师对预处理指令的讲解很清楚，我能够跟上课程进度,1
14,老师对算法基础的讲解很清楚，我能够跟上课程进度,1
15,老师对综合实验的讲解很清楚，我能够跟上课程进度,1
16,变量与数据类型部分安排得很细致，课后练习帮助我巩固了知识,1
17,条件语句部分安排得很细致，课后练习帮助我巩固了知识,1
18,循环结构部分安排得很细致，课后练习帮助我巩固了知识,1
19,数组部分安排得很细致，课后练习帮助我巩固了知识,1
20,函数部分安排得很细致，课后练习帮助我巩固了知识,1
21,指针部分安排得很细致，课后练习帮助我巩固了知识,1
22,结构体部分安排得很细致，课后练习帮助我巩固了知识,1
23,文件操作部分安排得很细致，课后练习帮助我巩固了知识,1
24,内存管理部分安排得很细致，课后练习帮助我巩固了知识,1
25,调试方法部分安排得很细致，课后练习帮助我巩固了知识,1
26,字符串处理部分安排得很细致，课后练习帮助我巩固了知识,1
27,递归部分安排得很细致，课后练习帮助我巩固了知识,1
28,预处理指令部分安排得很细致，课后练习帮助我巩固了知识,1
29,算法基础部分安排得很细致，课后练习帮助我巩固了知识,1
30,综合实验部分安排得很细致，课后练习帮助我巩固了知识,1
31,通过变量与数据类型的案例学习，我对相关概念有了更清晰的认识,1
32,通过条件语句的案例学习，我对相关概念有了更清晰的认识,1
33,通过循环结构的案例学习，我对相关概念有了更清晰的认识,1
34,通过数组的案例学习，我对相关概念有了更清晰的认识,1
35,通过函数的案例学习，我对相关概念有了更清晰的认识,1
36,通过指针的案例学习，我对相关概念有了更清晰的认识,1
37,通过结构体的案例学习，我对相关概念有了更清晰的认识,1
38,通过文件操作的案例学习，我对相关概念有了更清晰的认识,1
39,通过内存管理的案例学习，我对相关概念有了更清晰的认识,1
40,通过调试方法的案例学习，我对相关概念有了更清晰的认识,1
41,通过字符串处理的案例学习，我对相关概念有了更清晰的认识,1
42,通过递归的案例学习，我对相关概念有了更清晰的认识,1
43,通过预处理指令的案例学习，我对相关概念有了更清晰的认识,1
44,通过算法基础的案例学习，我对相关概念有了更清晰的认识,1
